Node,Depth,Value,Alpha,Beta
A4,5,-3,1,4
A2,5,1,1,4
A5,5,3,1,4
A2,5,3,3,4
A2,5,3,3,4
A3,5,0,3,4
A2,5,3,3,4
A4,5,-4,3,4
A2,5,3,3,4
A5,5,2,3,4
A2,5,3,3,4
B2,4,3,3,4
A3,5,-2,3,4
B2,4,3,3,4
A4,5,-6,3,4
B2,4,3,3,4
A5,5,0,3,4
B2,4,3,3,4
A2,3,3,-Infinity,3
B3,4,Infinity,-Infinity,3
B2,4,-Infinity,-Infinity,3
A2,5,-Infinity,-Infinity,3
A2,5,-Infinity,-Infinity,3
A3,5,0,-Infinity,3
A2,5,0,0,3
A4,5,-4,0,3
A2,5,0,0,3
A5,5,2,0,3
A2,5,2,2,3
A2,5,2,2,3
A3,5,-1,2,3
A2,5,2,2,3
A4,5,-5,2,3
A2,5,2,2,3
A5,5,1,2,3
A2,5,2,2,3
B2,4,2,2,3
A3,5,-3,2,3
B2,4,2,2,3
A4,5,-7,2,3
B2,4,2,2,3
A5,5,-1,2,3
B2,4,2,2,3
B3,4,2,-Infinity,2
B4,4,-Infinity,-Infinity,2
A2,5,-Infinity,-Infinity,2
A3,5,6,-Infinity,2
A2,5,6,-Infinity,2
B4,4,6,-Infinity,2
B3,4,2,-Infinity,2
B5,4,-Infinity,-Infinity,2
A2,5,-4,-Infinity,2
B5,4,-4,-4,2
A3,5,-Infinity,-4,2
A2,5,4,-4,2
A3,5,4,-4,2
B5,4,4,-4,2
B3,4,2,-Infinity,2
A2,3,2,-Infinity,2
B4,4,-Infinity,-Infinity,2
A2,5,-Infinity,-Infinity,2
A3,5,7,-Infinity,2
A2,5,7,-Infinity,2
B4,4,7,-Infinity,2
A2,3,2,-Infinity,2
B5,4,-Infinity,-Infinity,2
A2,5,-3,-Infinity,2
B5,4,-3,-3,2
A3,5,-Infinity,-3,2
A2,5,5,-3,2
A3,5,5,-3,2
B5,4,5,-3,2
A2,3,2,-Infinity,2
B3,2,2,2,4
A3,3,Infinity,2,4
B2,4,-Infinity,2,4
A2,5,-1,2,4
B2,4,-1,2,4
A3,5,-2,2,4
B2,4,-1,2,4
A4,5,0,2,4
B2,4,0,2,4
A5,5,6,2,4
B2,4,6,2,4
A3,3,6,2,4
B3,4,-Infinity,2,4
A2,5,8,2,4
B3,4,8,2,4
A3,3,6,2,4
B4,4,-Infinity,2,4
A2,5,7,2,4
B4,4,7,2,4
A3,3,6,2,4
B5,4,-Infinity,2,4
A2,5,3,2,4
B5,4,3,3,4
A3,5,-Infinity,3,4
A2,5,5,3,4
A3,5,5,3,4
B5,4,5,3,4
A3,3,5,2,4
B3,2,4,2,4
A2,1,4,-Infinity,4
B4,2,-Infinity,-Infinity,4
A2,3,Infinity,-Infinity,4
B2,4,Infinity,-Infinity,4
B2,4,-Infinity,-Infinity,4
A2,5,-21,-Infinity,4
B2,4,-21,-21,4
A3,5,-16,-21,4
B2,4,-16,-16,4
A4,5,-22,-16,4
B2,4,-16,-16,4
A5,5,-14,-16,4
B2,4,-14,-14,4
B2,4,-14,-Infinity,-14
B3,4,-Infinity,-Infinity,-14
A2,5,-24,-Infinity,-14
B3,4,-24,-24,-14
A3,5,-19,-24,-14
B3,4,-19,-19,-14
A4,5,-24,-19,-14
B3,4,-19,-19,-14
A5,5,-17,-19,-14
B3,4,-17,-17,-14
B2,4,-17,-Infinity,-17
B4,4,Infinity,-Infinity,-17
B2,4,-Infinity,-Infinity,-17
A2,5,-23,-Infinity,-17
B2,4,-23,-23,-17
A3,5,-18,-23,-17
B2,4,-18,-18,-17
A4,5,-Infinity,-18,-17
A2,5,-21,-18,-17
A4,5,-21,-18,-17
A3,5,-16,-18,-17
A4,5,-16,-18,-17
B2,4,-16,-18,-17
B4,4,-16,-Infinity,-17
B3,4,-Infinity,-Infinity,-17
A2,5,-26,-Infinity,-17
B3,4,-26,-26,-17
A3,5,-21,-26,-17
B3,4,-21,-21,-17
A4,5,-26,-21,-17
B3,4,-21,-21,-17
A5,5,-Infinity,-21,-17
A2,5,-15,-21,-17
A5,5,-15,-21,-17
B3,4,-15,-21,-17
B4,4,-16,-Infinity,-17
B4,4,-Infinity,-Infinity,-17
A2,5,-22,-Infinity,-17
B4,4,-22,-22,-17
A3,5,-17,-22,-17
B4,4,-17,-22,-17
B4,4,-17,-Infinity,-17
B5,4,-Infinity,-Infinity,-17
A2,5,-29,-Infinity,-17
B5,4,-29,-29,-17
A3,5,-23,-29,-17
B5,4,-23,-23,-17
A4,5,-29,-23,-17
B5,4,-23,-23,-17
A5,5,-21,-23,-17
B5,4,-21,-21,-17
B4,4,-21,-Infinity,-21
B2,4,-21,-Infinity,-21
B5,4,-Infinity,-Infinity,-21
A2,5,-27,-Infinity,-21
B5,4,-27,-27,-21
A3,5,-Infinity,-27,-21
A2,5,-18,-27,-21
A3,5,-18,-27,-21
B5,4,-18,-27,-21
B2,4,-21,-Infinity,-21
A2,3,-21,-Infinity,-21
B3,4,-Infinity,-Infinity,-21
A2,5,-13,-Infinity,-21
B3,4,-13,-Infinity,-21
A2,3,-21,-Infinity,-21
B5,4,-Infinity,-Infinity,-21
A2,5,-16,-Infinity,-21
B5,4,-16,-Infinity,-21
A2,3,-21,-Infinity,-21
B4,2,-21,-21,4
A3,3,Infinity,-21,4
B2,4,-Infinity,-21,4
A2,5,-14,-21,4
B2,4,-14,-14,4
A3,5,-15,-14,4
B2,4,-14,-14,4
A4,5,-15,-14,4
B2,4,-14,-14,4
A5,5,-7,-14,4
B2,4,-7,-7,4
A3,3,-7,-21,-7
B3,4,Infinity,-21,-7
B2,4,-Infinity,-21,-7
A2,5,-18,-21,-7
B2,4,-18,-18,-7
A3,5,-19,-18,-7
B2,4,-18,-18,-7
A4,5,-19,-18,-7
B2,4,-18,-18,-7
A5,5,-11,-18,-7
B2,4,-11,-11,-7
B3,4,-11,-21,-11
B3,4,Infinity,-21,-11
B2,4,-Infinity,-21,-11
A2,5,-19,-21,-11
B2,4,-19,-19,-11
A3,5,-20,-19,-11
B2,4,-19,-19,-11
A4,5,-20,-19,-11
B2,4,-19,-19,-11
A5,5,-12,-19,-11
B2,4,-12,-12,-11
B3,4,-12,-21,-12
B4,4,-Infinity,-21,-12
A2,5,-10,-21,-12
B4,4,-10,-21,-12
B3,4,-12,-21,-12
B5,4,-Infinity,-21,-12
A2,5,-16,-21,-12
B5,4,-16,-16,-12
A3,5,-16,-16,-12
B5,4,-16,-16,-12
A4,5,-16,-16,-12
B5,4,-16,-16,-12
A5,5,-Infinity,-16,-12
A2,5,-Infinity,-16,-12
A2,5,-3,-16,-12
A2,5,-3,-16,-12
A5,5,-3,-16,-12
B5,4,-3,-16,-12
B3,4,-12,-21,-12
B3,4,-12,-21,-12
B4,4,-Infinity,-21,-12
A2,5,-19,-21,-12
B4,4,-19,-19,-12
A3,5,-14,-19,-12
B4,4,-14,-14,-12
A5,5,-12,-14,-12
B4,4,-12,-14,-12
B3,4,-12,-21,-12
B5,4,-Infinity,-21,-12
A2,5,-15,-21,-12
B5,4,-15,-15,-12
A3,5,-15,-15,-12
B5,4,-15,-15,-12
A4,5,-15,-15,-12
B5,4,-15,-15,-12
A5,5,-Infinity,-15,-12
A2,5,-Infinity,-15,-12
A2,5,-2,-15,-12
A2,5,-2,-15,-12
A5,5,-2,-15,-12
B5,4,-2,-15,-12
B3,4,-12,-21,-12
A3,3,-12,-21,-12
B4,4,-Infinity,-21,-12
A2,5,95,-21,-12
B4,4,95,-21,-12
A3,3,-12,-21,-12
B5,4,-Infinity,-21,-12
A2,5,-10,-21,-12
B5,4,-10,-21,-12
A3,3,-12,-21,-12
B4,2,-12,-12,4
A5,3,Infinity,-12,4
B2,4,-Infinity,-12,4
A2,5,-12,-12,4
B2,4,-12,-12,4
A3,5,-7,-12,4
B2,4,-7,-7,4
A4,5,-13,-7,4
B2,4,-7,-7,4
A5,5,-13,-7,4
B2,4,-7,-7,4
A5,3,-7,-12,-7
B3,4,-Infinity,-12,-7
A2,5,-6,-12,-7
B3,4,-6,-12,-7
A5,3,-7,-12,-7
B4,4,-Infinity,-12,-7
A2,5,-3,-12,-7
B4,4,-3,-12,-7
A5,3,-7,-12,-7
B5,4,-Infinity,-12,-7
A2,5,-8,-12,-7
B5,4,-8,-8,-7
A3,5,-3,-8,-7
B5,4,-3,-8,-7
A5,3,-7,-12,-7
B4,2,-7,-7,4
A2,1,-7,-Infinity,-7
B5,2,Infinity,-Infinity,-7
B2,2,-Infinity,-Infinity,-7
A2,3,Infinity,-Infinity,-7
B2,4,-Infinity,-Infinity,-7
A2,5,-11,-Infinity,-7
B2,4,-11,-11,-7
A3,5,-4,-11,-7
B2,4,-4,-11,-7
A2,3,-4,-Infinity,-7
B3,4,-Infinity,-Infinity,-7
A2,5,-15,-Infinity,-7
B3,4,-15,-15,-7
A3,5,-8,-15,-7
B3,4,-8,-8,-7
A4,5,-12,-8,-7
B3,4,-8,-8,-7
A5,5,-6,-8,-7
B3,4,-6,-8,-7
A2,3,-6,-Infinity,-7
B4,4,-Infinity,-Infinity,-7
A2,5,-13,-Infinity,-7
B4,4,-13,-13,-7
A3,5,-6,-13,-7
B4,4,-6,-13,-7
A2,3,-6,-Infinity,-7
B5,4,-Infinity,-Infinity,-7
A2,5,-12,-Infinity,-7
B5,4,-12,-12,-7
A3,5,-5,-12,-7
B5,4,-5,-12,-7
A2,3,-6,-Infinity,-7
B2,2,-7,-Infinity,-7
B5,2,-7,-Infinity,-7
B3,2,-Infinity,-Infinity,-7
A2,3,-Infinity,-Infinity,-7
A2,3,-Infinity,-Infinity,-7
A3,3,-Infinity,-Infinity,-7
A2,3,Infinity,-Infinity,-7
B2,4,-Infinity,-Infinity,-7
A2,5,-4,-Infinity,-7
B2,4,-4,-Infinity,-7
A2,3,-4,-Infinity,-7
B3,4,-Infinity,-Infinity,-7
A2,5,-Infinity,-Infinity,-7
A3,5,7,-Infinity,-7
A2,5,7,-Infinity,-7
B3,4,7,-Infinity,-7
A2,3,-4,-Infinity,-7
B4,4,-Infinity,-Infinity,-7
A2,5,4,-Infinity,-7
B4,4,4,-Infinity,-7
A2,3,-4,-Infinity,-7
B5,4,-Infinity,-Infinity,-7
A2,5,5,-Infinity,-7
B5,4,5,-Infinity,-7
A2,3,-4,-Infinity,-7
A3,3,-7,-Infinity,-7
A2,3,-7,-Infinity,-7
A2,3,-7,-Infinity,-7
B3,2,-7,-Infinity,-7
B5,2,-7,-Infinity,-7
B4,2,-Infinity,-Infinity,-7
A2,3,Infinity,-Infinity,-7
B2,4,-Infinity,-Infinity,-7
A2,5,-12,-Infinity,-7
B2,4,-12,-12,-7
A3,5,-6,-12,-7
B2,4,-6,-12,-7
A2,3,-6,-Infinity,-7
